Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.mapreduce.Mapper,
,,,38
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.conf.Configurable,
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.conf.Configuration,
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.fs.FileSystem,
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.fs.Path,
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.io.IntWritable,
,,,513
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.io.IntWritable,
,,,51
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.conf.Configuration,
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.fs.Path,
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.io.IntWritable,
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.mapreduce.Mapper,
,,,133
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.conf.Configuration,
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.fs.FileStatus,
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.fs.FileSystem,
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.fs.Path,
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.io.IntWritable,
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.io.Writable,
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.util.ToolRunner,
,,,492
Grant Ingersoll         ,Grant Ingersoll,import org.apache.hadoop.io.Text,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.mapreduce.Reducer,
,,,70
Grant Ingersoll         ,Grant Ingersoll,import org.apache.hadoop.io.Text,
Grant Ingersoll         ,Grant Ingersoll,import org.apache.hadoop.io.WritableComparable,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.mapreduce.Mapper,
,,,66
frankscholten       ,frankscholten,import org.apache.hadoop.conf.Configuration,
,,,70
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.conf.Configuration,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.fs.FileSystem,
Grant Ingersoll         ,Grant Ingersoll,import org.apache.hadoop.fs.Path,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.io.SequenceFile,
Grant Ingersoll         ,Grant Ingersoll,import org.apache.hadoop.io.Text,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.mapreduce.Job,
