,Name,,,,,,Name,Unique Imports,,LOC,,Total Imports,,Intra Collab,,Extra Collab,,,,
David Phillips     ,David Phillips,import org.apache.hadoop.hive.ql.io.orc.OrcSerde,,,,,,,,,,,,,,,,,,
Nileema Shingte    ,Nileema Shingte,import org.apache.hadoop.hive.ql.io.orc.OrcWriterOptions,,,,,,,,,,,,,,,,,,
David Phillips     ,David Phillips,import org.apache.hadoop.hive.serde2.objectinspector.ObjectInspector,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.hive.serde2.objectinspector.ObjectInspector.Category,,,,,,,,,,,,,,,,,,
David Phillips     ,David Phillips,import org.apache.hadoop.hive.serde2.objectinspector.SettableStructObjectInspector,,,,,,,,,,,,,,,,,,
David Phillips     ,David Phillips,import org.apache.hadoop.hive.serde2.objectinspector.StructField,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.hive.serde2.typeinfo.ListTypeInfo,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.hive.serde2.typeinfo.MapTypeInfo,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.hive.serde2.typeinfo.TypeInfo,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.hive.serde2.typeinfo.TypeInfoUtils,329,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
David Phillips     ,David Phillips,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,,
David Phillips     ,David Phillips,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,,
David Phillips     ,David Phillips,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,,
David Phillips     ,David Phillips,import org.apache.hadoop.hive.ql.io.orc.OrcFile.WriterOptions,,,,,,,,,,,,,,,,,,
David Phillips     ,David Phillips,import org.apache.hadoop.hive.ql.io.orc.OrcStruct,,,,,,,,,,,,,,,,,,
David Phillips     ,David Phillips,import org.apache.hadoop.hive.ql.io.orc.Reader,,,,,,,,,,,,,,,,,,
David Phillips     ,David Phillips,import org.apache.hadoop.hive.ql.io.orc.RecordReader,,,,,,,,,,,,,,,,,,
David Phillips     ,David Phillips,import org.apache.hadoop.hive.ql.io.orc.Writer,,,,,,,,,,,,,,,,,,
David Phillips     ,David Phillips,import org.apache.hadoop.hive.serde2.io.DoubleWritable,,,,,,,,,,,,,,,,,,
David Phillips     ,David Phillips,import org.apache.hadoop.io.BooleanWritable,,,,,,,,,,,,,,,,,,
David Phillips     ,David Phillips,import org.apache.hadoop.io.BytesWritable,,,,,,,,,,,,,,,,,,
David Phillips     ,David Phillips,import org.apache.hadoop.io.LongWritable,,,,,,,,,,,,,,,,,,
David Phillips     ,David Phillips,import org.apache.hadoop.io.Text,202,,,,,,,,,,,,,,,,,
