,Name,,,,,,Name,Unique Imports,,LOC,,Total Imports,,Intra Collab,,Extra Collab,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.serde2.objectinspector.PrimitiveObjectInspector,,,,,,,,,,,,,,,,,,Robert Muir
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.serde2.objectinspector.PrimitiveObjectInspector.PrimitiveCategory,,,,,,,,,,,,,,,,,,Yang Yang  
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.serde2.objectinspector.StructField,,,,,,,,,,,,,,,,,,Yang Yang  
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.serde2.objectinspector.StructObjectInspector,,,,,,,,,,,,,,,,,,Yang Yang  
Andrii Rosa        ,Andrii Rosa,import org.apache.hadoop.hive.serde2.typeinfo.VarcharTypeInfo,,,,,,,,,,,,,,,,,,Zhenxiao Luo
Christopher Berner ,Christopher Berner,import org.apache.hadoop.mapred.FileSplit,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.mapred.InputFormat,660,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,,
Karol Sobczak      ,Karol Sobczak,import org.apache.hadoop.hive.common.type.HiveDecimal,,,,,,,,,,,,,,,,,,
Piotr Nowojski     ,Piotr Nowojski,import org.apache.hadoop.hive.common.type.HiveVarchar,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.hive.ql.exec.FileSinkOperator.RecordWriter,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.hive.ql.io.HiveOutputFormat,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.serde2.ReaderWriterProfiler,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.hive.serde2.SerDe,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.hive.serde2.objectinspector.ObjectInspector,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.serde2.objectinspector.ObjectInspector.Category,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.hive.serde2.objectinspector.SettableStructObjectInspector,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.hive.serde2.objectinspector.StructField,,,,,,,,,,,,,,,,,,
KarolHiveDecimalObjectInspector,KarolHiveDecimalObjectInspector,,,,,,,,,,,,,,,,,,,
Karol Sobczak      ,Karol Sobczak,import org.apache.hadoop.hive.serde2.typeinfo.DecimalTypeInfo,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.io.SequenceFile,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.io.Text,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.io.Writable,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.io.compress.CompressionCodec,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.io.compress.CompressionCodecFactory,,,,,,,,,,,,,,,,,,
