,Name,Imports,,Name,Unique Imports,,LOC,,Total Imports,,Intra Collab,,Extra Collab,,,,
Fabian Hueske     ,Fabian Hueske,import org.apache.hadoop.io.Writable,1297,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Aljoscha Krettek      ,Aljoscha Krettek,import org.apache.hadoop.mapred.JobConf,,,,,,,,,,,,,,,
Aljoscha Krettek      ,Aljoscha Krettek,import org.apache.hadoop.mapreduce.Job,1298,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Ajay Bhat           ,Ajay Bhat,import org.apache.hadoop.util.GenericOptionsParser,557,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Martin Liesenberg  ,Martin Liesenberg,import org.apache.hadoop.mapreduce.Job,73,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
twalthr             ,twalthr,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,
twalthr             ,twalthr,import org.apache.hadoop.mapreduce.JobContext,,,,,,,,,,,,,,,
twalthr             ,twalthr,import org.apache.hadoop.mapreduce.JobID,,,,,,,,,,,,,,,
twalthr             ,twalthr,import org.apache.hadoop.mapreduce.TaskAttemptContext,,,,,,,,,,,,,,,
twalthr             ,twalthr,import org.apache.hadoop.mapreduce.TaskAttemptID,98,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Ufuk Celebi        ,Ufuk Celebi,import org.apache.hadoop.conf.Configurable,,,,,,,,,,,,,,,
twalthr            ,twalthr,import org.apache.hadoop.mapreduce.Job,,,,,,,,,,,,,,,
twalthr            ,twalthr,import org.apache.hadoop.mapreduce.JobContext,,,,,,,,,,,,,,,
twalthr            ,twalthr,import org.apache.hadoop.mapreduce.JobID,,,,,,,,,,,,,,,
twalthr            ,twalthr,import org.apache.hadoop.mapreduce.RecordReader,,,,,,,,,,,,,,,
twalthr            ,twalthr,import org.apache.hadoop.mapreduce.TaskAttemptContext,,,,,,,,,,,,,,,
twalthr            ,twalthr,import org.apache.hadoop.mapreduce.TaskAttemptID,,,,,,,,,,,,,,,
twalthr            ,twalthr,import org.apache.hadoop.mapreduce.lib.input.FileInputFormat,,,,,,,,,,,,,,,
Robert Metzger     ,Robert Metzger,import org.apache.hadoop.security.Credentials,,,,,,,,,,,,,,,
Robert Metzger     ,Robert Metzger,import org.apache.hadoop.security.UserGroupInformation,330,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
fpompermaier      ,fpompermaier,import org.apache.hadoop.conf.Configurable,,,,,,,,,,,,,,,
twalthr           ,twalthr,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,
twalthr           ,twalthr,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,
twalthr           ,twalthr,import org.apache.hadoop.mapreduce.Job,,,,,,,,,,,,,,,
Fabian Hueske     ,Fabian Hueske,import org.apache.hadoop.mapreduce.JobContext,,,,,,,,,,,,,,,
twalthr           ,twalthr,import org.apache.hadoop.mapreduce.JobID,,,,,,,,,,,,,,,
Fabian Hueske     ,Fabian Hueske,import org.apache.hadoop.mapreduce.OutputCommitter,,,,,,,,,,,,,,,
twalthr           ,twalthr,import org.apache.hadoop.mapreduce.RecordWriter,,,,,,,,,,,,,,,
twalthr           ,twalthr,import org.apache.hadoop.mapreduce.TaskAttemptContext,,,,,,,,,,,,,,,
twalthr           ,twalthr,import org.apache.hadoop.mapreduce.TaskAttemptID,,,,,,,,,,,,,,,
twalthr           ,twalthr,import org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,,,,,,,,,,,,,,,
Robert Metzger    ,Robert Metzger,import org.apache.hadoop.security.Credentials,,,,,,,,,,,,,,,
Robert Metzger    ,Robert Metzger,import org.apache.hadoop.security.UserGroupInformation,245,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
twalthr           ,twalthr,import org.apache.hadoop.io.Writable,,,,,,,,,,,,,,,
Robert Metzger    ,Robert Metzger,import org.apache.hadoop.io.WritableFactories,,,,,,,,,,,,,,,
twalthr           ,twalthr,import org.apache.hadoop.mapreduce.JobContext,104,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Aljoscha Krettek  ,Aljoscha Krettek,import org.apache.hadoop.mapreduce.Job,50,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Robert Metzger  ,Robert Metzger,import org.apache.hadoop.security.Credentials,49,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Robert Metzger  ,Robert Metzger,import org.apache.hadoop.security.Credentials,,,,,,,,,,,,,,,
Robert Metzger  ,Robert Metzger,import org.apache.hadoop.security.UserGroupInformation,79,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Aljoscha Krettek  ,Aljoscha Krettek,import org.apache.hadoop.mapred.JobConf,70,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Aljoscha Krettek    ,Aljoscha Krettek,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,
twalthr             ,twalthr,import org.apache.hadoop.mapred.JobConf,,,,,,,,,,,,,,,
twalthr             ,twalthr,import org.apache.hadoop.mapred.JobContext,,,,,,,,,,,,,,,
twalthr             ,twalthr,import org.apache.hadoop.mapred.JobID,,,,,,,,,,,,,,,
twalthr             ,twalthr,import org.apache.hadoop.mapred.TaskAttemptContext,,,,,,,,,,,,,,,
twalthr             ,twalthr,import org.apache.hadoop.mapred.TaskAttemptID,171,,,,,,,,,,,,,,
