,Name,Imports,,Name,,Unique Imports,,LOC,,Total Imports,,Intra Collab,,Extra Collab,,,,,
cheddar          ,cheddar,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
cheddar          ,cheddar,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
,,,143,,,,,,,,,,,,,,,,
cheddar        ,cheddar,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
cheddar        ,cheddar,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
Charles Allen  ,Charles Allen,import org.apache.hadoop.fs.LocalFileSystem,,,,,,,,,,,,,,,,,
Charles Allen  ,Charles Allen,import org.apache.hadoop.fs.LocatedFileStatus,,,,,,,,,,,,,,,,,
cheddar        ,cheddar,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
Charles Allen  ,Charles Allen,import org.apache.hadoop.fs.RemoteIterator,,,,,,,,,,,,,,,,,
,,,356,,,,,,,,,,,,,,,,
Bingkun Guo ,Bingkun Guo,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
Bingkun Guo ,Bingkun Guo,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
Bingkun Guo ,Bingkun Guo,import org.apache.hadoop.fs.LocatedFileStatus,,,,,,,,,,,,,,,,,
Bingkun Guo ,Bingkun Guo,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
Bingkun Guo ,Bingkun Guo,import org.apache.hadoop.fs.RemoteIterator,,,,,,,,,,,,,,,,,
,,,116,,,,,,,,,,,,,,,,
Charles Allen  ,Charles Allen,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
Charles Allen  ,Charles Allen,import org.apache.hadoop.fs.FileStatus,,,,,,,,,,,,,,,,,
Charles Allen  ,Charles Allen,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
Charles Allen  ,Charles Allen,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
Charles Allen  ,Charles Allen,import org.apache.hadoop.fs.PathFilter,,,,,,,,,,,,,,,,,
,,,116,,,,,,,,,,,,,,,,
Charles Allen  ,Charles Allen,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
,,,64,,,,,,,,,,,,,,,,
cheddar        ,cheddar,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
,,,130,,,,,,,,,,,,,,,,
realfun        ,realfun,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
Gian Merlino   ,Gian Merlino,import org.apache.hadoop.fs.FSDataInputStream,,,,,,,,,,,,,,,,,
Gian Merlino   ,Gian Merlino,import org.apache.hadoop.fs.FileStatus,,,,,,,,,,,,,,,,,
realfun        ,realfun,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
realfun        ,realfun,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
,,,119,,,,,,,,,,,,,,,,
jon-wei        ,jon-wei,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
jon-wei        ,jon-wei,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
jon-wei        ,jon-wei,import org.apache.hadoop.fs.LocalFileSystem,,,,,,,,,,,,,,,,,
jon-wei        ,jon-wei,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
jon-wei        ,jon-wei,import org.apache.hadoop.io.BytesWritable,,,,,,,,,,,,,,,,,
jon-wei        ,jon-wei,import org.apache.hadoop.io.SequenceFile,,,,,,,,,,,,,,,,,
jon-wei        ,jon-wei,import org.apache.hadoop.io.SequenceFile.Writer,,,,,,,,,,,,,,,,,
jon-wei        ,jon-wei,import org.apache.hadoop.io.compress.CompressionCodec,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.mapreduce.JobContext,,,,,,,,,,,,,,,,,
jon-wei        ,jon-wei,import org.apache.hadoop.mapreduce.lib.input.SequenceFileInputFormat,,,,,,,,,,,,,,,,,
,,,639,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.io.compress.CompressionCodec,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.io.compress.GzipCodec,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.mapred.JobContext,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.mapreduce.lib.output.FileOutputFormat,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.util.ReflectionUtils,,,,,,,,,,,,,,,,,
,,,130,,,,,,,,,,,,,,,,
Eric Tschetter ,Eric Tschetter,import org.apache.hadoop.io.WritableComparator,,,,,,,,,,,,,,,,,
,,,118,,,,,,,,,,,,,,,,
Michael Schiff ,Michael Schiff,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
Michael Schiff ,Michael Schiff,import org.apache.hadoop.mapreduce.Job,,,,,,,,,,,,,,,,,
,,,171,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.mapred.JobContext,,,,,,,,,,,,,,,,,
,,,133,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.mapreduce.Job,,,,,,,,,,,,,,,,,
,,,298,,,,,,,,,,,,,,,,
Navis Ryu      ,Navis Ryu,import org.apache.hadoop.mapreduce.Job,,,,,,,,,,,,,,,,,
Navis Ryu      ,Navis Ryu,import org.apache.hadoop.mapreduce.lib.input.MultipleInputs,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.mapreduce.lib.input.TextInputFormat,,,,,,,,,,,,,,,,,
,,,97,,,,,,,,,,,,,,,,
dclim          ,dclim,import org.apache.hadoop.mapreduce.Job,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.mapreduce.lib.input.TextInputFormat,,,,,,,,,,,,,,,,,
dclim          ,dclim,import org.apache.hadoop.security.UserGroupInformation,,,,,,,,,,,,,,,,,
,,,192,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.mapreduce.lib.input.TextInputFormat,,,,,,,,,,,,,,,,,
,,,65,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.mapreduce.InputSplit,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.mapreduce.TaskAttemptContext,,,,,,,,,,,,,,,,,
,,,139,,,,,,,,,,,,,,,,
navis.ryu      ,navis.ryu,import org.apache.hadoop.fs.BlockLocation,,,,,,,,,,,,,,,,,
navis.ryu      ,navis.ryu,import org.apache.hadoop.fs.FileStatus,,,,,,,,,,,,,,,,,
navis.ryu      ,navis.ryu,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
navis.ryu      ,navis.ryu,import org.apache.hadoop.fs.LocatedFileStatus,,,,,,,,,,,,,,,,,
navis.ryu      ,navis.ryu,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
navis.ryu      ,navis.ryu,import org.apache.hadoop.mapred.InputFormat,,,,,,,,,,,,,,,,,
navis.ryu      ,navis.ryu,import org.apache.hadoop.mapred.JobConf,,,,,,,,,,,,,,,,,
navis.ryu      ,navis.ryu,import org.apache.hadoop.mapred.TextInputFormat,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.mapreduce.InputSplit,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.mapreduce.JobContext,,,,,,,,,,,,,,,,,
,,,273,,,,,,,,,,,,,,,,
Eric Tschetter ,Eric Tschetter,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
Eric Tschetter ,Eric Tschetter,import org.apache.hadoop.fs.FileStatus,,,,,,,,,,,,,,,,,
Eric Tschetter ,Eric Tschetter,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
Eric Tschetter ,Eric Tschetter,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
,,,97,,,,,,,,,,,,,,,,
cheddar        ,cheddar,import org.apache.hadoop.fs.LocalFileSystem,,,,,,,,,,,,,,,,,
cheddar        ,cheddar,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
cheddar        ,cheddar,import org.apache.hadoop.hdfs.DistributedFileSystem,,,,,,,,,,,,,,,,,
,,,321,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.io.BytesWritable,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.mapreduce.Reducer,,,,,,,,,,,,,,,,,
,,,261,,,,,,,,,,,,,,,,
Nishant        ,Nishant,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
Nishant        ,Nishant,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
Nishant        ,Nishant,import org.apache.hadoop.hdfs.DistributedFileSystem,,,,,,,,,,,,,,,,,
Nishant        ,Nishant,import org.apache.hadoop.hdfs.MiniDFSCluster,,,,,,,,,,,,,,,,,
Nishant        ,Nishant,import org.apache.hadoop.mapreduce.Job,,,,,,,,,,,,,,,,,
Nishant        ,Nishant,import org.apache.hadoop.mapreduce.MRJobConfig,,,,,,,,,,,,,,,,,
,,,203,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
Xavier Léauté  ,Xavier Léauté,import org.apache.hadoop.mapred.JobContext,,,,,,,,,,,,,,,,,
,,,76,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.io.ArrayWritable,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.io.Text,,,,,,,,,,,,,,,,,
binlijin       ,binlijin,import org.apache.hadoop.io.WritableUtils,,,,,,,,,,,,,,,,,
,,,260,,,,,,,,,,,,,,,,
Himanshu Gupta   ,Himanshu Gupta,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
Davide Anastasia ,Davide Anastasia,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
Himanshu Gupta   ,Himanshu Gupta,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
Himanshu Gupta   ,Himanshu Gupta,import org.apache.hadoop.mapreduce.Job,,,,,,,,,,,,,,,,,
,,,575,,,,,,,,,,,,,,,,
Gian Merlino   ,Gian Merlino,import org.apache.hadoop.io.Text,,,,,,,,,,,,,,,,,
Gian Merlino   ,Gian Merlino,import org.apache.hadoop.mapreduce.Mapper,,,,,,,,,,,,,,,,,
,,,112,,,,,,,,,,,,,,,,
fjy              ,fjy,import org.apache.hadoop.conf.Configurable,,,,,,,,,,,,,,,,,
Eric Tschetter   ,Eric Tschetter,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
Eric Tschetter   ,Eric Tschetter,import org.apache.hadoop.fs.FileStatus,,,,,,,,,,,,,,,,,
Eric Tschetter   ,Eric Tschetter,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
Eric Tschetter   ,Eric Tschetter,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
Eric Tschetter   ,Eric Tschetter,import org.apache.hadoop.io.BytesWritable,,,,,,,,,,,,,,,,,
Eric Tschetter   ,Eric Tschetter,import org.apache.hadoop.io.Text,,,,,,,,,,,,,,,,,
Himanshu Gupta   ,Himanshu Gupta,import org.apache.hadoop.io.Writable,,,,,,,,,,,,,,,,,
Eric Tschetter   ,Eric Tschetter,import org.apache.hadoop.mapred.InvalidJobConfException,,,,,,,,,,,,,,,,,
Eric Tschetter   ,Eric Tschetter,import org.apache.hadoop.mapreduce.Counter,,,,,,,,,,,,,,,,,
Eric Tschetter   ,Eric Tschetter,import org.apache.hadoop.mapreduce.Job,,,,,,,,,,,,,,,,,
Eric Tschetter   ,Eric Tschetter,import org.apache.hadoop.mapreduce.JobContext,,,,,,,,,,,,,,,,,
Eric Tschetter   ,Eric Tschetter,import org.apache.hadoop.mapreduce.Partitioner,,,,,,,,,,,,,,,,,
Eric Tschetter   ,Eric Tschetter,import org.apache.hadoop.mapreduce.Reducer,,,,,,,,,,,,,,,,,
Eric Tschetter   ,Eric Tschetter,import org.apache.hadoop.mapreduce.lib.output.FileOutputFormat,,,,,,,,,,,,,,,,,
Eric Tschetter   ,Eric Tschetter,import org.apache.hadoop.mapreduce.lib.output.TextOutputFormat,,,,,,,,,,,,,,,,,
,,,781,,,,,,,,,,,,,,,,
Eric Tschetter ,Eric Tschetter,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
Eric Tschetter ,Eric Tschetter,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
Eric Tschetter ,Eric Tschetter,import org.apache.hadoop.io.compress.CompressionCodec,,,,,,,,,,,,,,,,,
Eric Tschetter ,Eric Tschetter,import org.apache.hadoop.io.compress.GzipCodec,,,,,,,,,,,,,,,,,
Eric Tschetter ,Eric Tschetter,import org.apache.hadoop.mapreduce.JobContext,,,,,,,,,,,,,,,,,
Eric Tschetter ,Eric Tschetter,import org.apache.hadoop.mapreduce.lib.output.FileOutputFormat,,,,,,,,,,,,,,,,,
Eric Tschetter ,Eric Tschetter,import org.apache.hadoop.util.ReflectionUtils,,,,,,,,,,,,,,,,,
,,,127,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.io.BytesWritable,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.io.Text,,,,,,,,,,,,,,,,,
,,,69,,,,,,,,,,,,,,,,
Eric Tschetter ,Eric Tschetter,import org.apache.hadoop.mapreduce.Job,,,,,,,,,,,,,,,,,
,,,42,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.mapreduce.Job,,,,,,,,,,,,,,,,,
,,,80,,,,,,,,,,,,,,,,
Eric Tschetter ,Eric Tschetter,import org.apache.hadoop.fs.FileStatus,,,,,,,,,,,,,,,,,
Eric Tschetter ,Eric Tschetter,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
Eric Tschetter ,Eric Tschetter,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
Eric Tschetter ,Eric Tschetter,import org.apache.hadoop.mapreduce.Job,,,,,,,,,,,,,,,,,
,,,122,,,,,,,,,,,,,,,,
Eric Tschetter ,Eric Tschetter,import org.apache.hadoop.fs.FileStatus,,,,,,,,,,,,,,,,,
Eric Tschetter ,Eric Tschetter,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
Eric Tschetter ,Eric Tschetter,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.mapreduce.InputFormat,,,,,,,,,,,,,,,,,
Eric Tschetter ,Eric Tschetter,import org.apache.hadoop.mapreduce.Job,,,,,,,,,,,,,,,,,
,,,159,,,,,,,,,,,,,,,,
Navis Ryu      ,Navis Ryu,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.mapreduce.InputFormat,,,,,,,,,,,,,,,,,
Eric Tschetter ,Eric Tschetter,import org.apache.hadoop.mapreduce.Job,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.mapreduce.lib.input.CombineTextInputFormat,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.mapreduce.lib.input.MultipleInputs,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.mapreduce.lib.input.TextInputFormat,,,,,,,,,,,,,,,,,
,,,172,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.mapreduce.Job,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.mapreduce.lib.input.MultipleInputs,,,,,,,,,,,,,,,,,
,,,198,,,,,,,,,,,,,,,,
nishantmonu51    ,nishantmonu51,import org.apache.hadoop.conf.Configurable,,,,,,,,,,,,,,,,,
Eric Tschetter   ,Eric Tschetter,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
Eric Tschetter   ,Eric Tschetter,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
Eric Tschetter   ,Eric Tschetter,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
Eric Tschetter   ,Eric Tschetter,import org.apache.hadoop.io.BytesWritable,,,,,,,,,,,,,,,,,
Gian Merlino     ,Gian Merlino,import org.apache.hadoop.io.NullWritable,,,,,,,,,,,,,,,,,
Eric Tschetter   ,Eric Tschetter,import org.apache.hadoop.io.Text,,,,,,,,,,,,,,,,,
Eric Tschetter   ,Eric Tschetter,import org.apache.hadoop.mapred.InvalidJobConfException,,,,,,,,,,,,,,,,,
Eric Tschetter   ,Eric Tschetter,import org.apache.hadoop.mapreduce.Job,,,,,,,,,,,,,,,,,
Eric Tschetter   ,Eric Tschetter,import org.apache.hadoop.mapreduce.JobContext,,,,,,,,,,,,,,,,,
Eric Tschetter   ,Eric Tschetter,import org.apache.hadoop.mapreduce.Mapper,,,,,,,,,,,,,,,,,
Gian Merlino     ,Gian Merlino,import org.apache.hadoop.mapreduce.Partitioner,,,,,,,,,,,,,,,,,
Eric Tschetter   ,Eric Tschetter,import org.apache.hadoop.mapreduce.RecordWriter,,,,,,,,,,,,,,,,,
Eric Tschetter   ,Eric Tschetter,import org.apache.hadoop.mapreduce.Reducer,,,,,,,,,,,,,,,,,
Eric Tschetter   ,Eric Tschetter,import org.apache.hadoop.mapreduce.TaskAttemptContext,,,,,,,,,,,,,,,,,
Eric Tschetter   ,Eric Tschetter,import org.apache.hadoop.mapreduce.TaskInputOutputContext,,,,,,,,,,,,,,,,,
Gian Merlino     ,Gian Merlino,import org.apache.hadoop.mapreduce.lib.input.FileInputFormat,,,,,,,,,,,,,,,,,
Gian Merlino     ,Gian Merlino,import org.apache.hadoop.mapreduce.lib.input.SequenceFileInputFormat,,,,,,,,,,,,,,,,,
Eric Tschetter   ,Eric Tschetter,import org.apache.hadoop.mapreduce.lib.output.FileOutputFormat,,,,,,,,,,,,,,,,,
Gian Merlino     ,Gian Merlino,import org.apache.hadoop.mapreduce.lib.output.SequenceFileOutputFormat,,,,,,,,,,,,,,,,,
,,,919,,,,,,,,,,,,,,,,
Ian Brandt     ,Ian Brandt,import org.apache.hadoop.fs.FileStatus,,,,,,,,,,,,,,,,,
Ian Brandt     ,Ian Brandt,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
Ian Brandt     ,Ian Brandt,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
,,,105,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
navis.ryu      ,navis.ryu,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.io.NullWritable,,,,,,,,,,,,,,,,,
navis.ryu      ,navis.ryu,import org.apache.hadoop.mapred.FileInputFormat,,,,,,,,,,,,,,,,,
navis.ryu      ,navis.ryu,import org.apache.hadoop.mapred.JobConf,,,,,,,,,,,,,,,,,
navis.ryu      ,navis.ryu,import org.apache.hadoop.mapred.TextInputFormat,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.mapreduce.InputFormat,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.mapreduce.InputSplit,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.mapreduce.JobContext,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.mapreduce.RecordReader,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.mapreduce.TaskAttemptContext,,,,,,,,,,,,,,,,,
,,,239,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.io.NullWritable,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.mapreduce.InputSplit,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.mapreduce.RecordReader,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.mapreduce.TaskAttemptContext,,,,,,,,,,,,,,,,,
,,,194,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.io.Writable,,,,,,,,,,,,,,,,,
Himanshu Gupta ,Himanshu Gupta,import org.apache.hadoop.mapreduce.InputSplit,,,,,,,,,,,,,,,,,
,,,98,,,,,,,,,,,,,,,,
Ian Brandt     ,Ian Brandt,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
Ian Brandt     ,Ian Brandt,import org.apache.hadoop.mapreduce.JobContext,,,,,,,,,,,,,,,,,
,,,62,,,,,,,,,,,,,,,,
Xavier Léauté    ,Xavier Léauté,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
Xavier Léauté    ,Xavier Léauté,import org.apache.hadoop.fs.FileStatus,,,,,,,,,,,,,,,,,
Xavier Léauté    ,Xavier Léauté,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
Xavier Léauté    ,Xavier Léauté,import org.apache.hadoop.fs.LocalFileSystem,,,,,,,,,,,,,,,,,
Xavier Léauté    ,Xavier Léauté,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
Xavier Léauté    ,Xavier Léauté,import org.apache.hadoop.io.retry.RetryPolicies,,,,,,,,,,,,,,,,,
Xavier Léauté    ,Xavier Léauté,import org.apache.hadoop.io.retry.RetryProxy,,,,,,,,,,,,,,,,,
Xavier Léauté    ,Xavier Léauté,import org.apache.hadoop.mapreduce.Job,,,,,,,,,,,,,,,,,
Xavier Léauté    ,Xavier Léauté,import org.apache.hadoop.mapreduce.TaskAttemptContext,,,,,,,,,,,,,,,,,
Xavier Léauté    ,Xavier Léauté,import org.apache.hadoop.mapreduce.TaskAttemptID,,,,,,,,,,,,,,,,,
Xavier Léauté    ,Xavier Léauté,import org.apache.hadoop.util.Progressable,,,,,,,,,,,,,,,,,
,,,796,,,,,,,,,,,,,,,,
nishantmonu51    ,nishantmonu51,import org.apache.hadoop.conf.Configurable,,,,,,,,,,,,,,,,,
fjy              ,fjy,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
fjy              ,fjy,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
fjy              ,fjy,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
fjy              ,fjy,import org.apache.hadoop.io.BytesWritable,,,,,,,,,,,,,,,,,
fjy              ,fjy,import org.apache.hadoop.io.LongWritable,,,,,,,,,,,,,,,,,
fjy              ,fjy,import org.apache.hadoop.io.NullWritable,,,,,,,,,,,,,,,,,
fjy              ,fjy,import org.apache.hadoop.mapreduce.Job,,,,,,,,,,,,,,,,,
nishantmonu51    ,nishantmonu51,import org.apache.hadoop.mapreduce.Partitioner,,,,,,,,,,,,,,,,,
fjy              ,fjy,import org.apache.hadoop.mapreduce.Reducer,,,,,,,,,,,,,,,,,
fjy              ,fjy,import org.apache.hadoop.mapreduce.lib.output.FileOutputFormat,,,,,,,,,,,,,,,,,
fjy              ,fjy,import org.apache.hadoop.mapreduce.lib.output.SequenceFileOutputFormat,,,,,,,,,,,,,,,,,
,,,421,,,,,,,,,,,,,,,,
Eric Tschetter ,Eric Tschetter,import org.apache.hadoop.io.BytesWritable,,,,,,,,,,,,,,,,,
Eric Tschetter ,Eric Tschetter,import org.apache.hadoop.io.WritableComparator,,,,,,,,,,,,,,,,,
Eric Tschetter ,Eric Tschetter,import org.apache.hadoop.mapreduce.Job,,,,,,,,,,,,,,,,,
Eric Tschetter ,Eric Tschetter,import org.apache.hadoop.mapreduce.Partitioner,,,,,,,,,,,,,,,,,
,,,173,,,,,,,,,,,,,,,,
Charles Allen  ,Charles Allen,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
Charles Allen  ,Charles Allen,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
Charles Allen  ,Charles Allen,import org.apache.hadoop.fs.LocatedFileStatus,,,,,,,,,,,,,,,,,
Charles Allen  ,Charles Allen,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
Charles Allen  ,Charles Allen,import org.apache.hadoop.fs.RemoteIterator,,,,,,,,,,,,,,,,,
Charles Allen  ,Charles Allen,import org.apache.hadoop.io.Text,,,,,,,,,,,,,,,,,
Charles Allen  ,Charles Allen,import org.apache.hadoop.mapred.JobConf,,,,,,,,,,,,,,,,,
Charles Allen  ,Charles Allen,import org.apache.hadoop.mapred.JobPriority,,,,,,,,,,,,,,,,,
Charles Allen  ,Charles Allen,import org.apache.hadoop.mapreduce.InputFormat,,,,,,,,,,,,,,,,,
Charles Allen  ,Charles Allen,import org.apache.hadoop.mapreduce.InputSplit,,,,,,,,,,,,,,,,,
Charles Allen  ,Charles Allen,import org.apache.hadoop.mapreduce.Job,,,,,,,,,,,,,,,,,
Charles Allen  ,Charles Allen,import org.apache.hadoop.mapreduce.JobContext,,,,,,,,,,,,,,,,,
