,Name,Imports,,Name,,Unique Imports,,LOC,,Total Imports,,Intra Collab,,Extra Collab,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.SequenceFile,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.Text,,,,,,,,,,,,,,,,,
,,,166,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
,,,52,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
,,,143,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configured,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.FileStatus,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.FileOutputFormat,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.JobClient,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.JobConf,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.util.StringUtils,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.util.Tool,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.util.ToolRunner,,,,,,,,,,,,,,,,,
,,,187,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.JobConf,,,,,,,,,,,,,,,,,
,,,76,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.JobConf,,,,,,,,,,,,,,,,,
,,,156,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.Text,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.Writable,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.InputFormat,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.InputSplit,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.JobClient,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.JobConf,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.OutputCollector,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.RecordReader,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.Reducer,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.Reporter,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.lib.IdentityMapper,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.lib.NullOutputFormat,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.util.Tool,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.util.ToolRunner,,,,,,,,,,,,,,,,,
,,,400,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.ByteWritable,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.Text,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.FileInputFormat,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.JobClient,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.JobConf,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.Mapper,,,,,,,,,,,,,,,,,
